month_start,year,month,borough,sales_count,median_sale_price
2018-02-01,2018,2,3,1060,799500.0
2018-02-01,2018,2,4,1389,545000.0
2018-02-01,2018,2,5,481,515000.0
2018-03-01,2018,3,1,1076,1127628.5
2018-03-01,2018,3,2,496,453875.5
2018-03-01,2018,3,3,1269,760000.0
2018-03-01,2018,3,4,1492,535000.0
2018-03-01,2018,3,5,474,497000.0
2018-04-01,2018,4,1,1026,1200000.0
2018-04-01,2018,4,2,393,400000.0
2018-04-01,2018,4,3,1111,730000.0
2018-04-01,2018,4,4,1435,530000.0
2018-04-01,2018,4,5,500,510000.0
2018-05-01,2018,5,1,1174,1100000.0
2018-05-01,2018,5,2,519,430000.0
2018-05-01,2018,5,3,1365,795000.0
2018-05-01,2018,5,4,1535,550000.0
2018-05-01,2018,5,5,567,499000.0
2018-06-01,2018,6,1,1274,1100000.0
2018-06-01,2018,6,2,506,430000.0
2018-06-01,2018,6,3,1446,792500.0
2018-06-01,2018,6,4,1667,540000.0
2018-06-01,2018,6,5,566,520000.0
2018-07-01,2018,7,1,1215,1188000.0
2018-07-01,2018,7,2,522,439000.0
2018-07-01,2018,7,3,1311,825000.0
2018-07-01,2018,7,4,1601,550000.0
2018-07-01,2018,7,5,580,529745.0
2018-08-01,2018,8,1,1290,1120000.0
2018-08-01,2018,8,2,551,422568.0
2018-08-01,2018,8,3,1345,800000.0
2018-08-01,2018,8,4,1663,570000.0
2018-08-01,2018,8,5,584,522000.0
2018-09-01,2018,9,1,962,1165000.0
2018-09-01,2018,9,2,462,460000.0
2018-09-01,2018,9,3,1083,800000.0
2018-09-01,2018,9,4,1363,560000.0
2018-09-01,2018,9,5,475,510000.0
2018-10-01,2018,10,1,1115,1030000.0
2018-10-01,2018,10,2,517,460000.0
2018-10-01,2018,10,3,1323,750600.0
2018-10-01,2018,10,4,1653,550000.0
2018-10-01,2018,10,5,578,525000.0
2018-11-01,2018,11,1,896,1150000.0
2018-11-01,2018,11,2,424,460685.0
2018-11-01,2018,11,3,1136,771000.0
2018-11-01,2018,11,4,1446,560750.0
2018-11-01,2018,11,5,497,545000.0
2018-12-01,2018,12,1,1108,1245000.0
2018-12-01,2018,12,2,484,519653.5
2018-12-01,2018,12,3,1168,795000.0
2018-12-01,2018,12,4,1416,569000.0
2018-12-01,2018,12,5,547,538859.0
2019-01-01,2019,1,1,911,1052500.0
2019-01-01,2019,1,2,406,490000.0
2019-01-01,2019,1,3,1159,745000.0
2019-01-01,2019,1,4,1431,555000.0
2019-01-01,2019,1,5,455,525000.0
2019-02-01,2019,2,1,936,1295000.0
2019-02-01,2019,2,2,416,498229.5
2019-02-01,2019,2,3,1021,769000.0
2019-02-01,2019,2,4,1175,547000.0
2019-02-01,2019,2,5,379,521500.0
2019-03-01,2019,3,1,1013,1237500.0
2019-03-01,2019,3,2,460,431000.0
2019-03-01,2019,3,3,1159,799000.0
2019-03-01,2019,3,4,1389,545000.0
2019-03-01,2019,3,5,411,500585.0
2019-04-01,2019,4,1,1180,1275000.0
2019-04-01,2019,4,2,481,507500.0
2019-04-01,2019,4,3,1262,814800.0
2019-04-01,2019,4,4,1460,568601.0
2019-04-01,2019,4,5,428,505000.0
2019-05-01,2019,5,1,1379,1379734.0
2019-05-01,2019,5,2,498,470000.0
2019-05-01,2019,5,3,1340,800000.0
2019-05-01,2019,5,4,1541,550000.0
2019-05-01,2019,5,5,465,535000.0
2019-06-01,2019,6,1,1801,1700000.0
2019-06-01,2019,6,2,423,474050.0
2019-06-01,2019,6,3,1391,900000.0
2019-06-01,2019,6,4,1508,590000.0
2019-06-01,2019,6,5,484,523000.0
2019-07-01,2019,7,1,1100,997000.0
2019-07-01,2019,7,2,494,452926.5
2019-07-01,2019,7,3,1265,800000.0
2019-07-01,2019,7,4,1513,565000.0
2019-07-01,2019,7,5,486,539994.0
2019-08-01,2019,8,1,1115,1130000.0
2019-08-01,2019,8,2,465,485000.0
2019-08-01,2019,8,3,1312,790000.0
2019-08-01,2019,8,4,1531,590000.0
2019-08-01,2019,8,5,608,551900.0
2019-09-01,2019,9,1,1111,1120000.0
2019-09-01,2019,9,2,434,466676.0
2019-09-01,2019,9,3,1242,766000.0
2019-09-01,2019,9,4,1466,600000.0
2019-09-01,2019,9,5,423,540000.0
2019-10-01,2019,10,1,1175,1100000.0
2019-10-01,2019,10,2,465,494000.0
